time_tag,xrsa,xrsb
2026-04-18T02:18:00Z,3.3170002300408896e-09,2.9546328050855664e-07
2026-04-18T02:19:00Z,3.791208236236798e-09,2.929866695922101e-07
2026-04-18T02:20:00Z,3.2740949951204357e-09,2.940307695098454e-07
2026-04-18T02:21:00Z,2.626039163899918e-09,2.941015395663271e-07
2026-04-18T02:22:00Z,1.0901541891428224e-09,2.946830761629826e-07
2026-04-18T02:23:00Z,2.2645163522128087e-09,2.9585172001134197e-07
2026-04-18T02:24:00Z,2.7525175472220553e-09,2.963411418477335e-07
2026-04-18T02:25:00Z,2.26329821551019e-09,2.985559603985166e-07
2026-04-18T02:26:00Z,3.843669826864016e-09,3.032851907391887e-07
2026-04-18T02:27:00Z,3.066730425160813e-09,3.0716486776327656e-07
2026-04-18T02:28:00Z,3.160468997620569e-09,3.097184162470512e-07
2026-04-18T02:29:00Z,4.106829987193805e-09,3.116434470484819e-07
2026-04-18T02:30:00Z,4.6526231756161e-09,3.120132419098809e-07
2026-04-18T02:31:00Z,3.985454188892845e-09,3.1002235800769995e-07
2026-04-18T02:32:00Z,1.2347612932117613e-09,3.08248530700439e-07
2026-04-18T02:33:00Z,1.253963710645678e-09,3.084169577505236e-07
2026-04-18T02:34:00Z,2.746118443752721e-09,3.0485176694128313e-07
2026-04-18T02:35:00Z,3.817626659241569e-09,3.047960319690901e-07
2026-04-18T02:36:00Z,2.0348351892351957e-09,3.018607515059557e-07
2026-04-18T02:37:00Z,1.2605553267874825e-09,3.004834354669583e-07
2026-04-18T02:38:00Z,2.632806639368823e-09,3.01196592999986e-07
2026-04-18T02:39:00Z,3.3567724155858514e-09,3.048802454941324e-07
2026-04-18T02:40:00Z,1.5461208979772323e-09,3.0582154408875795e-07
2026-04-18T02:41:00Z,1.6257041268730177e-09,3.0607392886849993e-07
2026-04-18T02:42:00Z,2.418741429366378e-09,3.0396006422961364e-07
2026-04-18T02:43:00Z,1.6736412256079802e-09,2.999903756517597e-07
2026-04-18T02:44:00Z,9.999999717180685e-10,2.9666387035831576e-07
2026-04-18T02:45:00Z,9.999999717180685e-10,2.969840693367587e-07
2026-04-18T02:46:00Z,1.7095395099531174e-09,2.9731120321230264e-07
2026-04-18T02:47:00Z,9.999999717180685e-10,2.963908514175273e-07
2026-04-18T02:48:00Z,9.999999717180685e-10,2.958270499675564e-07
2026-04-18T02:49:00Z,1.2595322562702904e-09,2.979053306262358e-07
2026-04-18T02:50:00Z,9.999999717180685e-10,2.9733553219557507e-07
2026-04-18T02:51:00Z,9.999999717180685e-10,2.9511807042581495e-07
2026-04-18T02:52:00Z,9.999999717180685e-10,2.952170916614705e-07
2026-04-18T02:53:00Z,9.999999717180685e-10,2.922749331446539e-07
2026-04-18T02:54:00Z,9.999999717180685e-10,2.942286698726093e-07
2026-04-18T02:55:00Z,9.999999717180685e-10,2.927894229287631e-07
2026-04-18T02:56:00Z,9.999999717180685e-10,2.92242845034707e-07
2026-04-18T02:57:00Z,9.999999717180685e-10,2.902708047258784e-07
2026-04-18T02:58:00Z,9.999999717180685e-10,2.88366067024981e-07
2026-04-18T02:59:00Z,9.999999717180685e-10,2.8624046422009997e-07
2026-04-18T03:00:00Z,9.999999717180685e-10,2.861561938516388e-07
2026-04-18T03:01:00Z,9.999999717180685e-10,2.867004980089405e-07
2026-04-18T03:02:00Z,9.999999717180685e-10,2.873082109999814e-07
2026-04-18T03:03:00Z,1.812129446499e-09,3.0016283858458337e-07
2026-04-18T03:04:00Z,2.349576089244465e-09,3.0790690175308555e-07
2026-04-18T03:05:00Z,2.038358815070751e-09,3.107917621036904e-07
2026-04-18T03:06:00Z,3.2898019863836225e-09,3.105340056208661e-07
2026-04-18T03:07:00Z,2.472812621334697e-09,3.0865464850649005e-07
2026-04-18T03:08:00Z,1.7454183653953237e-09,3.05695948554785e-07
2026-04-18T03:09:00Z,3.4863607556445686e-09,3.1008855216896336e-07
2026-04-18T03:10:00Z,3.872191456366636e-09,3.127457546270307e-07
2026-04-18T03:11:00Z,1.1724131665502568e-09,3.122545138012356e-07
2026-04-18T03:12:00Z,9.999999717180685e-10,3.1453529913960665e-07
2026-04-18T03:13:00Z,1.907321633964898e-09,3.2408982519882557e-07
2026-04-18T03:14:00Z,2.1040125197657744e-09,3.2803148997118114e-07
2026-04-18T03:15:00Z,3.694482053617776e-09,3.304670883608196e-07
2026-04-18T03:16:00Z,3.394418079949446e-09,3.306708435957262e-07
